Report Target;Ticket Date Create Month Id;IWM Solution Time SILT Business Minutes
SILT;2017M01;1971
SILT;2017M02;13352
SILT;2017M03;19186
SILT;2017M04;20729
SILT;2017M05;7045
SILT;2017M06;7121
SILT;2017M07;20514
SILT;2017M08;13556
SILT;2017M09;25911
SILT;2017M10;27570
SILT;2017M11;28169
SILT;2017M12;14789
SILT;2018M01;11996
SILT;2018M02;10816
SILT;2018M03;13058
SILT;2018M04;13983
SILT;2018M05;12680
SILT;2018M06;9500
SILT;2018M07;10882
SILT;2018M08;8751
SILT;2018M09;7290
SILT;2018M10;5410
SILT;2018M11;2276
